play_id,game_id,posteam,home_team,away_team,week,game_date,field_goal_result,extra_point_result,two_point_conv_result,td_team,total_home_score,total_away_score,safety,touchdown,extra_point_attempt,two_point_attempt,field_goal_attempt,away_score,home_score
1344,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,,,ARI,0,16,0.0,1.0,0.0,0.0,0.0,38,13
1369,2021_01_ARI_TEN,ARI,TEN,ARI,1,2021-09-12,,good,,,0,17,0.0,0.0,1.0,0.0,0.0,38,13
1385,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1409,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1431,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1455,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1476,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1505,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1540,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1562,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1584,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1608,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1629,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,,0,17,0.0,0.0,0.0,0.0,0.0,38,13
1650,2021_01_ARI_TEN,TEN,TEN,ARI,1,2021-09-12,,,,TEN,6,17,0.0,1.0,0.0,0.0,0.0,38,13
